COD_ART,NOM_ART,Disponible_Inicial,Calidad,Stock Externo,stock_inicial,demanda_media,cajas_a_producir,horas_necesarias
400121,Miniatura,194.0,0.0,0.0,171.5,7.5,393.0,2.0
400231,Pepito,385.0,0.0,0.0,344.62117647058824,13.459607843137253,320.0,2.0
401111,Bocata,559.0,0.0,0.0,324.95263157894743,78.0157894736842,449.0,2.0
401301,Baguette Plus,322.0,0.0,0.0,259.3,20.9,321.0,2.0
401881,Bollo,394.0,0.0,0.0,364.52785923753663,9.824046920821115,411.0,2.0
402011,Viena Mondat 145 gr,941.0,0.0,0.0,620.3,106.9,493.0,2.0
403341,Barra de Viena,803.0,0.0,0.0,611.6,63.8,484.0,2.0
403801,Mini Viena Andaluza,304.0,0.0,0.0,254.5,16.5,411.0,2.0
406002,Panecito Integral 100% Ecológico Easy,350.0,0.0,0.0,326.3,7.9,274.0,2.0
406301,Viena Mondat con Salvado 145 gr,794.0,0.0,0.0,706.2609046849758,29.246365105008078,449.0,2.0
406401,Viena con Salvado Pequeña,465.0,0.0,0.0,378.6,28.8,411.0,2.0
406501,Bollo 100 % Integral,55.0,0.0,0.0,52.3,0.9,374.0,2.0
407411,Bollo Rústico Semillado,140.0,0.0,0.0,131.6,2.8,262.0,2.0
423111,Panecillo con Cereales y Semillas,513.0,0.0,0.0,450.9,20.7,312.0,2.0
423301,Mollete Pack 4 UDS,110.0,0.0,0.0,103.0111111111111,2.32962962962963,335.0,2.0
423321,Mollete,661.0,0.0,0.0,553.3,35.9,311.0,2.0
423611,"Alcachofa Semillada con Sésamo 4,35%",246.0,0.0,0.0,231.0,5.0,386.0,2.0
430401,Mini Panecillo Easy,1258.0,0.0,0.0,1027.9,76.7,270.0,2.0
430621,Pepito Easy,665.0,0.0,0.0,155.90000000000003,169.7,353.0,2.1
430731,Panecito Easy,1856.0,0.0,0.0,1561.7,98.1,317.0,2.0
431610,Bollito 100% Integral Easy Pack 8 unidades,525.0,0.0,0.0,470.46,18.18,272.0,2.0
432111,Pepito Sin Sal Añadida Easy,48.0,0.0,0.0,11.643410852713181,12.118863049095607,332.0,2.0
432211,Pepito con Salvado Easy,692.0,0.0,0.0,523.1,56.3,332.0,2.0
432311,Pepito con Salvado Sin Sal Añadida Easy,14.0,0.0,0.0,-61.086330935251794,25.028776978417262,332.0,2.0
432421,Bollo Easy,582.0,0.0,0.0,478.2146341463415,34.59512195121951,299.0,2.0
432501,Pan Bocadillo con Salvado Easy,0.0,0.0,0.0,-20.1,6.7,374.0,2.0
432821,Pan Bocadillo Easy,757.0,0.0,0.0,639.4,39.2,340.0,2.0
432911,Panecito con Salvado Easy,456.0,0.0,0.0,378.3,25.9,317.0,2.0
434011,Panecito Sin Sal Añadida Easy,178.0,0.0,0.0,144.4,11.2,317.0,2.0
434201,Viena Easy,645.0,0.0,0.0,452.1,64.3,371.0,2.0
434721,Bollito Easy,468.0,0.0,0.0,319.32000000000005,49.55999999999999,270.0,2.0
435711,Rombito Integral 100%,188.0,0.0,0.0,174.5,4.5,245.0,2.0
453233,Panecillo 100% Integral,0.0,0.0,0.0,-0.30000000000000004,0.1,227.0,2.0
453241,Panecillo 100% Integral,372.0,0.0,196.0,539.8,9.4,227.0,2.0
453243,Panecillo 100% Integral,1229.0,0.0,0.0,1159.1,23.3,248.0,2.0
453251,Panecillo 100% Integral,2812.0,0.0,0.0,2128.9,227.7,237.0,2.0
5718540,Panecillo con  Semillas,231.0,0.0,1596.0,1372.8705357142858,151.3764880952381,278.0,2.0
5718619,Pulguita,2798.0,0.0,28.0,2410.820952944658,138.39301568511397,321.0,2.0
5720811,Baguetina Cereales,172.0,0.0,728.0,110.40000000000009,263.2,679.0,6.3
