COD_ART;NOM_ART;COD_GRU;Estado;Orden_Planificacion;Demanda_Media;Stock_Inicial;Cajas_a_Producir;Horas_Necesarias;Cobertura_Inicial;Cobertura_Final;Cobertura_Final_Est;Tipo;Total_Palets;Total_Stock;Penalizacion_Espacio
604301;Pepito Easy Pack 5 uds;MEC;Válido sin producción;;1,5;215,0;0;0,0;143,33;143,33;136,33;RESUMEN;1409,75;39306,0;-100
407411;Bollo Rústico Semillado;VIME;Válido sin producción;FINAL;0,7;136,0;0;0,0;194,29;194,29;187,29;RESUMEN;1409,75;39306,0;-100
423611;Alcachofa Semillada con Sésamo 4,35%;VIME;Válido sin producción;FINAL;0,2;243,0;0;0,0;1215,0;1215,0;1208,0;RESUMEN;1409,75;39306,0;-100
435711;Rombito Integral 100%;VIME;Válido sin producción;FINAL;2,6;177,0;0;0,0;68,08;68,08;61,08;RESUMEN;1409,75;39306,0;-100
438801;Panecillo con Semillas;VIME;Válido sin producción;FINAL;0,55;198,0;0;0,0;357,7;357,7;350,7;RESUMEN;1409,75;39306,0;-100
421702;Barra de Viena Ecológica Easy;MEC;No válido;;0,0;629,0;0;0,0;0,0;0,0;0,0;RESUMEN;1409,75;39306,0;-100
421802;Bollo Ecológico Easy;MEC;No válido;;0,0;217,0;0;0,0;0,0;0,0;0,0;RESUMEN;1409,75;39306,0;-100
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;No válido;;0,0;367,0;0;0,0;0,0;0,0;0,0;RESUMEN;1409,75;39306,0;-100
430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;No válido;;0,0;56,0;0;0,0;0,0;0,0;0,0;RESUMEN;1409,75;39306,0;-100
432501;Pan Bocadillo con Salvado Easy;MEC;No válido;;0,0;0,0;0;0,0;0,0;0,0;0,0;RESUMEN;1409,75;39306,0;-100
434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;No válido;;0,0;643,0;0;0,0;0,0;0,0;0,0;RESUMEN;1409,75;39306,0;-100
