COD_ART,NOM_ART,Disponible_Inicial,Calidad,Stock Externo,stock_inicial,demanda_media,cajas_a_producir,horas_necesarias
401113,Bocata,0.0,0.0,0.0,-91.96311239193085,22.990778097982712,161.0,0.7
401301,Baguette Plus,339.0,0.0,0.0,-119.80000000000001,114.7,464.0,2.9
401423,Barra Castellana,103.0,0.0,0.0,-204.60000000000002,76.9,436.0,3.6
406501,Bollo 100 % Integral,56.0,0.0,0.0,-90.0,36.5,200.0,1.1
422002,Barra de Viena 15%  Integral  Ecológico Easy,379.0,0.0,0.0,-340.20000000000005,179.8,879.0,4.9
432211,Pepito con Salvado Easy,340.0,0.0,0.0,64.39999999999998,68.9,143.0,0.9
432501,Pan Bocadillo con Salvado Easy,0.0,0.0,0.0,-0.8,0.2,2.0,0.0
434111,Panecito con Salvado Sin Sal Añadida Easy,363.0,0.0,392.0,-327.79999999999995,270.7,1140.0,7.2
434721,Bollito Easy,482.0,0.0,0.0,-178.0703046534984,165.0175761633746,673.0,5.0
435711,Rombito Integral 100%,192.0,0.0,0.0,-778.8,242.7,1507.0,12.3
436701,Mollete Multicereal con Quinoa (3%),25.0,0.0,0.0,-1027.8,263.2,1818.0,13.5
