COD_ART,NOM_ART,Disponible_Inicial,Calidad,Stock Externo,stock_inicial,demanda_media,cajas_a_producir,horas_necesarias
400231,Pepito,628.0,0.0,0.0,571.6,14.1,320.0,2.0
402011,Viena Mondat 145 gr,1645.0,0.0,0.0,1419.0,56.5,493.0,2.0
403341,Barra de Viena,1420.0,0.0,0.0,1312.4,26.9,484.0,2.0
403801,Mini Viena Andaluza,140.0,0.0,0.0,113.6,6.6,411.0,2.0
406301,Viena Mondat con Salvado 145 gr,647.0,0.0,0.0,578.6,17.1,449.0,2.0
406401,Viena con Salvado Pequeña,585.0,0.0,0.0,541.4,10.9,411.0,2.0
423301,Mollete Pack 4 UDS,110.0,0.0,0.0,102.4,1.9,335.0,2.0
423321,Mollete,988.0,0.0,0.0,921.2,16.7,311.0,2.0
430401,Mini Panecillo Easy,717.0,0.0,0.0,563.0,38.5,270.0,2.0
430621,Pepito Easy,1873.0,0.0,0.0,1499.8,93.3,333.0,2.0
431610,Bollito 100% Integral Easy Pack 8 unidades,416.0,0.0,0.0,364.8,12.8,272.0,2.0
432111,Pepito Sin Sal Añadida Easy,216.0,0.0,0.0,170.4629213483146,11.384269662921348,332.0,2.0
432211,Pepito con Salvado Easy,993.0,0.0,0.0,777.5966101694916,53.85084745762712,332.0,2.0
432311,Pepito con Salvado Sin Sal Añadida Easy,448.0,0.0,0.0,407.6991150442478,10.075221238938052,332.0,2.0
432421,Bollo Easy,676.0,0.0,0.0,620.4,13.9,299.0,2.0
432821,Pan Bocadillo Easy,838.0,0.0,0.0,728.8,27.3,340.0,2.0
432911,Panecito con Salvado Easy,357.0,0.0,0.0,325.4,7.9,317.0,2.0
434201,Viena Easy,977.0,0.0,0.0,810.5252124645892,41.61869688385269,371.0,2.0
434721,Bollito Easy,313.0,0.0,0.0,175.12737430167596,34.46815642458101,270.0,2.0
453241,Panecillo 100% Integral,120.0,0.0,0.0,105.2,3.7,227.0,2.0
453251,Panecillo 100% Integral,1252.0,0.0,0.0,826.4,106.4,237.0,2.0
5718540,Panecillo con  Semillas,1366.0,0.0,812.0,1846.9935760171306,82.75160599571734,278.0,2.0
5720811,Baguetina Cereales,1076.0,0.0,728.0,982.4,205.4,214.0,2.0
