Fecha Inicio;27/12/2024;;;;;;;;
Fecha Fin;03/01/2025;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
COD_ART;NOM_ART;Cj/H;M_Vta -15;Disponible;Calidad;Stock Externo;cajas_hora;stock_total;demanda_diaria;cajas_necesarias;cajas_a_producir;horas_necesarias
244719;PANECILLO CON QUINOA (3%) 110 g;134.85314;;0.0;0.0;;134.85314;0.0;0.0;0.0;269.70628;2.0
411001;Chapata Mini;134.71253;;0.0;0.0;;134.71253;0.0;0.0;0.0;269.42506;2.0
407401;Bollo Rústico Semillado;130.89849;;0.0;0.0;;130.89849;0.0;0.0;0.0;261.79698;2.0
405621;Media Baguette con Salvado;138.09507;;0.0;0.0;;138.09507;0.0;0.0;0.0;276.19014;2.0
432501;Pan Bocadillo con Salvado Easy;187.00706;;0.0;0.0;;187.00706;0.0;0.0;0.0;374.01412;2.0
436001;Rombito Rústico;267.6923;;0.0;0.0;;267.6923;0.0;0.0;0.0;535.3846;2.0
436011;Rombito Rústico;133.84615;;0.0;0.0;;133.84615;0.0;0.0;0.0;267.6923;2.0
401621;Media Baguette;138.09751;;0.0;0.0;;138.09751;0.0;0.0;0.0;276.19502;2.0
401423;Barra Castellana;120.91656;;0.0;0.0;;120.91656;0.0;0.0;0.0;241.83312;2.0
401421;Barra Castellana;137.06227;5.7;0.0;0.0;;137.06227;0.0;0.38;1.1400000000000001;274.12454;2.0
403321;Barra de Viena;196.69172;;0.0;0.0;;196.69172;0.0;0.0;0.0;393.38344;2.0
453221;Panecillo 100% Integral;108.80043;;0.0;0.0;;108.80043;0.0;0.0;0.0;217.60086;2.0
274756;PAN PEPITO;160.28813;;0.0;0.0;;160.28813;0.0;0.0;0.0;320.57626;2.0
400233;Pepito;160.28813;;0.0;0.0;;160.28813;0.0;0.0;0.0;320.57626;2.0
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;205.7429;;0.0;0.0;;205.7429;0.0;0.0;0.0;411.4858;2.0
453233;Panecillo 100% Integral;113.63273;0.1;0.0;0.0;;113.63273;0.0;0.006666666666666667;0.02;227.26546;2.0
400221;Pepito;154.64788;;0.0;0.0;;154.64788;0.0;0.0;0.0;309.29576;2.0
454001;Panecillo 100% Integral;98.9047;1.9;0.0;0.0;;98.9047;0.0;0.12666666666666665;0.37999999999999995;197.8094;2.0
453211;Panecillo 100% Integral;108.80043;;0.0;0.0;;108.80043;0.0;0.0;0.0;217.60086;2.0
436701;Mollete Multicereal con Quinoa (3%);134.87342;0.3;27.0;0.0;;134.87342;27.0;0.02;0.0;269.74684;2.0
430301;Panecillo Semillas Easy;127.17655;0.1;53.0;0.0;;127.17655;53.0;0.006666666666666667;0.0;254.3531;2.0
406501;Bollo 100 % Integral;187.00422;1.4;57.0;0.0;;187.00422;57.0;0.09333333333333332;0.0;374.00844;2.0
402801;Viena;224.44444;28.0;65.0;0.0;;224.44444;65.0;1.8666666666666667;0.0;448.88888;2.0
423301;Mollete Pack 4 UDS;167.3356;3.7;110.0;0.0;;167.3356;110.0;0.24666666666666667;0.0;334.6712;2.0
423111;Panecillo con Cereales y Semillas;155.78171;16.9;110.0;0.0;;155.78171;110.0;1.1266666666666665;0.0;311.56342;2.0
432311;Pepito con Salvado Sin Sal Añadida Easy;166.21039;18.5;70.0;0.0;56.0;166.21039;126.0;1.2333333333333334;0.0;332.42078;2.0
401111;Bocata;224.45714;89.1;149.0;0.0;;224.45714;149.0;5.9399999999999995;0.0;448.91428;2.0
407411;Bollo Rústico Semillado;130.89596;3.5;152.0;0.0;;130.89596;152.0;0.23333333333333334;0.0;261.79192;2.0
425351;Payesito Mondat;192.67272;6.5;156.0;0.0;;192.67272;156.0;0.43333333333333335;0.0;385.34544;2.0
432911;Panecito con Salvado Easy;158.39643;36.9;178.0;0.0;;158.39643;178.0;2.46;0.0;316.79286;2.0
421802;Bollo Ecológico Easy;163.20404;;217.0;0.0;;163.20404;217.0;0.0;0.0;326.40808;2.0
430101;Pan Bocadillo Sin Sal Añadida Easy;187.00569;3.7;223.0;0.0;;187.00569;223.0;0.24666666666666667;0.0;374.01138;2.0
435711;Rombito Integral 100%;122.40097;3.3;231.0;0.0;;122.40097;231.0;0.22;0.0;244.80194;2.0
431610;Bollito 100% Integral Easy Pack 8 unidades;136.00086;21.5;234.0;0.0;;136.00086;234.0;1.4333333333333333;0.0;272.00172;2.0
423611;Alcachofa Semillada con Sésamo 4?35%;192.76761;4.8;246.0;0.0;;192.76761;246.0;0.32;0.0;385.53522;2.0
404903;Viena 170g;186.988;;247.0;0.0;;186.988;247.0;0.0;0.0;373.976;2.0
400121;Miniatura;196.35136;8.0;258.0;0.0;;196.35136;258.0;0.5333333333333333;0.0;392.70272;2.0
604301;Pepito Easy Pack 5 uds;166.21437;3.7;259.0;0.0;;166.21437;259.0;0.24666666666666667;0.0;332.42874;2.0
434011;Panecito Sin Sal Añadida Easy;158.39017;16.8;262.0;0.0;;158.39017;262.0;1.12;0.0;316.78034;2.0
406002;Panecito Integral 100% Ecológico Easy;136.80039;15.5;262.0;0.0;;136.80039;262.0;1.0333333333333334;0.0;273.60078;2.0
432111;Pepito Sin Sal Añadida Easy;166.22628;18.0;268.0;0.0;;166.22628;268.0;1.2;0.0;332.45256;2.0
400231;Pepito;160.18779;26.7;277.0;0.0;;160.18779;277.0;1.78;0.0;320.37558;2.0
401113;Bocata;224.45714;;288.0;0.0;;224.45714;288.0;0.0;0.0;448.91428;2.0
