COD_ART,NOM_ART,Disponible_Inicial,Calidad,Stock Externo,stock_inicial,demanda_media,cajas_a_producir,horas_necesarias
400121,Miniatura,772.0,0.0,0.0,772.0,24.9,393.0,2.0
400231,Pepito,467.0,0.0,0.0,467.0,27.8188679245283,320.0,2.0
400233,Pepito,0.0,0.0,0.0,0.0,27.7,321.0,2.0
401113,Bocata,0.0,0.0,0.0,0.0,19.2,449.0,2.0
401301,Baguette Plus,631.0,0.0,0.0,631.0,23.9,321.0,2.0
401421,Barra Castellana,144.0,0.0,0.0,144.0,18.7,274.0,2.0
401423,Barra Castellana,0.0,0.0,0.0,0.0,9.2,242.0,2.0
401881,Bollo,283.0,0.0,0.0,283.0,24.914956011730208,411.0,2.0
402011,Viena Mondat 145 gr,302.0,0.0,0.0,302.0,131.5,493.0,2.0
403341,Barra de Viena,690.0,0.0,0.0,690.0,69.7,484.0,2.0
403801,Mini Viena Andaluza,408.0,0.0,0.0,408.0,16.776547231270357,411.0,2.0
404903,Viena 170g,23.0,0.0,0.0,23.0,4.3,374.0,2.0
406002,Panecito Integral 100% Ecológico Easy,382.0,28.0,0.0,410.0,72.7,274.0,2.0
406301,Viena Mondat con Salvado 145 gr,539.0,0.0,0.0,539.0,63.920434782608694,449.0,2.0
406401,Viena con Salvado Pequeña,829.0,0.0,0.0,829.0,34.89644128113879,411.0,2.0
421702,Barra de Viena Ecológica Easy,235.0,0.0,0.0,235.0,34.5,360.0,2.0
422002,Barra de Viena 15%  Integral  Ecológico Easy,208.0,0.0,0.0,208.0,10.6,360.0,2.0
423111,Panecillo con Cereales y Semillas,129.0,0.0,0.0,129.0,8.6,312.0,2.0
423321,Mollete,625.0,0.0,0.0,625.0,42.9,311.0,2.0
425201,Baguetina Cereales,0.0,0.0,0.0,0.0,0.8,306.0,2.0
425351,Payesito Mondat,238.0,0.0,0.0,238.0,4.557142857142856,385.0,2.0
430301,Panecillo Semillas Easy,109.0,0.0,0.0,109.0,8.2,254.0,2.0
430621,Pepito Easy,1246.0,0.0,624.0,1870.0,211.5,333.0,2.0
430702,Panecito Ecológico Easy,752.0,0.0,0.0,752.0,124.6,317.0,2.0
430731,Panecito Easy,436.0,28.0,0.0,464.0,305.9,454.0,2.9
432111,Pepito Sin Sal Añadida Easy,564.0,0.0,0.0,564.0,28.931297709923665,332.0,2.0
432211,Pepito con Salvado Easy,668.0,0.0,168.0,836.0,28.8,332.0,2.0
432311,Pepito con Salvado Sin Sal Añadida Easy,370.0,0.0,0.0,370.0,8.800934579439254,332.0,2.0
432421,Bollo Easy,486.0,0.0,0.0,486.0,24.3,299.0,2.0
432821,Pan Bocadillo Easy,792.0,0.0,0.0,792.0,22.73248299319728,340.0,2.0
432911,Panecito con Salvado Easy,161.0,362.0,0.0,523.0,23.9,317.0,2.0
434011,Panecito Sin Sal Añadida Easy,353.0,0.0,0.0,353.0,10.362439024390243,317.0,2.0
434201,Viena Easy,650.0,0.0,0.0,650.0,90.38961038961038,371.0,2.0
434721,Bollito Easy,641.0,0.0,0.0,641.0,48.76581352833638,270.0,2.0
435711,Rombito Integral 100%,65.0,0.0,0.0,65.0,3.7,245.0,2.0
438801,Panecillo con Semillas,230.0,0.0,56.0,286.0,10.0,278.0,2.0
453241,Panecillo 100% Integral,0.0,0.0,0.0,0.0,6.3,227.0,2.0
453243,Panecillo 100% Integral,502.0,2.0,441.0,945.0,45.9,248.0,2.0
453251,Panecillo 100% Integral,0.0,308.0,252.0,560.0,272.7,258.0,2.2
5718540,Panecillo con  Semillas,270.0,0.0,868.0,1138.0,226.07410319410317,278.0,2.0
5718619,Pulguita,79.0,0.0,1120.0,1199.0,134.3,321.0,2.0
5720811,Baguetina Cereales,145.0,0.0,1204.0,1349.0,184.7,214.0,2.0
604301,Pepito Easy Pack 5 uds,121.0,0.0,0.0,121.0,3.7,332.0,2.0
