Fecha;16/01/2025 13:58;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;589;39,3;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.400;93,3;1.120;74,7;;8,30%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.872;324,8;4.643;309,5;;7,00%
400121;Miniatura;MEC;196,35136;415;0;(en blanco);1;(en blanco);(en blanco);;;;633;10,6;210;14;175;11,7;;8,00%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3;0,2;;;;0,00%
400231;Pepito;MEC;160,18779;238;0;(en blanco);5;16/01/2025;324;;;;1.118;18,6;256;17,1;262;17,5;;6,50%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;352;5,9;320;21,3;;;;0,00%
401111;Bocata;MEC;224,45714;683;0;(en blanco);3;15/01/2025;452;;;;3.012;50,2;687;45,8;575;38,3;;8,00%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);;;;256;4,3;224;14,9;;;;0,00%
401301;Baguette Plus;MEC;160,34482;700;0;(en blanco);385;(en blanco);(en blanco);;;;869;14,5;361;24,1;289;19,3;;8,30%
401421;Barra Castellana;MEC;137,06227;257;0;(en blanco);112;15/01/2025;292;;;;85;1,4;2;0,1;364;24,3;;0,00%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);0;(en blanco);(en blanco);;;;96;1,6;288;19,2;;;;0,00%
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,00%
401881;Bollo;MEC;205,58375;314;0;(en blanco);4;(en blanco);(en blanco);;;;1.826;30,4;173;11,5;454;30,3;;2,50%
402011;Viena Mondat 145 gr;MEC;246,74846;591;0;(en blanco);243;15/01/2025;632;;;;4.686;78,1;1.724;114,9;1.723;114,9;;6,70%
402801;Viena;MEC;224,44444;65;0;(en blanco);0;(en blanco);(en blanco);;;;420;7;68;4,5;377;25,1;;1,20%
403341;Barra de Viena;MEC;242,1118;618;0;(en blanco);11;(en blanco);(en blanco);;;;3.064;51,1;1.513;100,9;2.027;135,1;;5,00%
403801;Mini Viena Andaluza;MEC;205,70099;510;0;(en blanco);15;15/01/2025;51;;;;820;13,7;488;32,5;626;41,7;;5,20%
404903;Viena 170g;MEC;186,988;87;0;(en blanco);0;(en blanco);(en blanco);;;;65;1,1;96;6,4;;;;0,00%
405121;Miniatura con Salvado;MEC;196,35943;427;0;(en blanco);1;(en blanco);(en blanco);;;;23;0,4;2;0,1;14;0,9;;1,00%
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;5;0,3;4;0,3;;8,30%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;703;0;(en blanco);23;14/01/2025;0;;;;682;11,4;639;42,6;791;52,7;;5,40%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;765;0;(en blanco);20;16/01/2025;453;;;;2.095;34,9;663;44,2;756;50,4;;5,80%
406401;Viena con Salvado Pequeña;MEC;205,7429;310;0;(en blanco);4;16/01/2025;431;;;;1.499;25;469;31,3;473;31,5;;6,60%
406501;Bollo 100 % Integral;MEC;187,00422;44;0;(en blanco);0;(en blanco);(en blanco);;;;67;1,1;13;0,9;64;4,3;;1,40%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;91;6,1;124;8,3;;4,90%
407411;Bollo Rústico Semillado;VIME;130,89596;108;0;(en blanco);13;(en blanco);(en blanco);;;;219;3,7;;;;;;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;132;8,8;80;5,3;;11,00%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;545;0;(en blanco);0;(en blanco);(en blanco);;;;952;15,9;;;;;;
421802;Bollo Ecológico Easy;MEC;163,20404;691;0;(en blanco);0;(en blanco);(en blanco);;;;686;11,4;;;;;;
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;179,99915;327;0;(en blanco);0;(en blanco);(en blanco);;;;383;6,4;;;;;;
423111;Panecillo con Cereales y Semillas;VIME;155,78171;461;0;(en blanco);0;(en blanco);(en blanco);;;;740;12,3;;;;;;
423301;Mollete Pack 4 UDS;MEC;167,3356;110;0;(en blanco);0;(en blanco);(en blanco);;;;140;2,3;41;2,7;163;10,9;;1,70%
423321;Mollete;MEC;155,66037;281;0;(en blanco);129;17/01/2025;637;;;;1.994;33,2;329;21,9;286;19,1;;7,70%
423611;Alcachofa Semillada con Sésamo 4,35%;VIME;192,76761;206;0;(en blanco);37;(en blanco);(en blanco);;;;75;1,3;;;;;;
425351;Payesito Mondat;MEC;192,67272;73;0;(en blanco);0;17/01/2025;401;;;;234;3,9;30;2;22;1,5;;9,10%
430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;187,00569;56;0;(en blanco);0;(en blanco);(en blanco);;;;112;1,9;;;;;;
430301;Panecillo Semillas Easy;VIME;127,17655;165;0;(en blanco);0;(en blanco);(en blanco);;;;2;0;;;;;;
430401;Mini Panecillo Easy;VIME;134,85559;1094;0;(en blanco);616;13/01/2025;28;;;;3.980;66,3;444;29,6;80;5,3;;37,00%
430621;Pepito Easy;MEC;166,2776;2101;0;(en blanco);168;14/01/2025;274;;;;8.275;137,9;2.650;176,7;3.032;202,1;;5,80%
430702;Panecito Ecológico Easy;MEC;158,42696;1717;0;(en blanco);268;14/01/2025;79;;;;4.096;68,3;2.384;158,9;3.511;234,1;;4,50%
430731;Panecito Easy;MEC;158,31932;1144;0;(en blanco);612;15/01/2025;1602;;;;9.897;165;1.680;112;2.492;166,1;;4,50%
431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;136,00086;277;0;(en blanco);0;(en blanco);(en blanco);;;;730;12,2;134;8,9;217;14,5;;4,10%
432111;Pepito Sin Sal Añadida Easy;MEC;166,22628;552;0;(en blanco);0;14/01/2025;22;;;;1.584;26,4;377;25,1;504;33,6;;5,00%
432211;Pepito con Salvado Easy;MEC;166,21578;982;0;(en blanco);0;(en blanco);(en blanco);;;;1.889;31,5;922;61,5;834;55,6;;7,40%
432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;166,21039;260;0;(en blanco);0;(en blanco);(en blanco);;;;670;11,2;440;29,3;109;7,3;;26,90%
432421;Bollo Easy;MEC;149,60847;837;0;(en blanco);0;14/01/2025;0;;;;1.399;23,3;644;42,9;499;33,3;;8,60%
432501;Pan Bocadillo con Salvado Easy;MEC;187,00706;0;0;(en blanco);0;(en blanco);(en blanco);;;;101;1,7;;;;;;
432821;Pan Bocadillo Easy;MEC;169,99643;981;0;(en blanco);5;16/01/2025;515;;;;2.191;36,5;322;21,5;701;46,7;;3,10%
432911;Panecito con Salvado Easy;MEC;158,39643;531;0;(en blanco);0;15/01/2025;668;;;;2.773;46,2;578;38,5;678;45,2;;5,70%
433701;Bollito Easy Pack de 8 Uds;VIME;133,91913;769;0;(en blanco);0;(en blanco);(en blanco);;;;340;5,7;44;2,9;108;7,2;;2,70%
434011;Panecito Sin Sal Añadida Easy;MEC;158,39017;237;0;(en blanco);0;(en blanco);(en blanco);;;;947;15,8;342;22,8;308;20,5;;7,40%
434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;158,40635;251;0;392;0;(en blanco);(en blanco);;;;396;6,6;168;11,2;;;;0,00%
434201;Viena Easy;MEC;185,45964;1270;0;(en blanco);9;16/01/2025;381;;;;3.203;53,4;507;33,8;755;50,3;;4,50%
434721;Bollito Easy;VIME;134,85559;105;0;(en blanco);2;13/01/2025;75;;;;2.641;44;575;38,3;879;58,6;;4,40%
435711;Rombito Integral 100%;VIME;122,40097;144;0;(en blanco);1;(en blanco);(en blanco);;;;189;3,2;;;;;;
436011;Rombito Rústico;VIME;133,84615;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;8;0,5;;
436701;Mollete Multicereal con Quinoa (3%);MEC;134,87342;23;0;(en blanco);0;17/01/2025;277;;;;38;0,6;;;;;;
438801;Panecillo con Semillas;VIME;138,83391;28;0;140;29;(en blanco);(en blanco);;;;377;6,3;60;4;18;1,2;;22,20%
453211;Panecillo 100% Integral;VIME;108,80043;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.816;321,1;5.040;336;;6,40%
453221;Panecillo 100% Integral;VIME;108,80043;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3.696;246,4;5.404;360,3;;4,60%
453223;Panecillo 100% Integral;VIME;102,00064;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;252;16,8;;;;0,00%
453233;Panecillo 100% Integral;VIME;113,63273;0;0;(en blanco);0;(en blanco);(en blanco);;;;1;0;;;;;;
453241;Panecillo 100% Integral;VIME;113,63273;120;0;(en blanco);0;(en blanco);(en blanco);;;;438;7,3;;;;;;
453243;Panecillo 100% Integral;VIME;123,95874;688;0;525;560;13/01/2025;0;;;;1.150;19,2;;;;;;
453251;Panecillo 100% Integral;VIME;118,69587;616;0;224;476;13/01/2025;102;;;;20.636;343,9;;;;;;
454001;Panecillo 100% Integral;VIME;98,9047;0;0;(en blanco);0;(en blanco);(en blanco);;;;155;2,6;3;0,2;18;1,2;;1,10%
5718540;Panecillo con  Semillas;VIME;138,85714;214;0;224;252;17/01/2025;1701;;;;16.857;281;2.048;136,5;3.561;237,4;;3,80%
5718619;Pulguita;MEC;160,291;103;0;1232;140;16/01/2025;1468;;;;10.612;176,9;4.287;285,8;4.403;293,5;;6,50%
5720811;Baguetina Cereales;VIME;107,09612;102;0;756;28;17/01/2025;904;;;;13.273;221,2;;;;;;
604301;Pepito Easy Pack 5 uds;MEC;166,21437;189;0;(en blanco);0;(en blanco);(en blanco);;;;183;3,1;;;;;;
Total general;;;;;;;;;;;;;136.226;2.270,40;42.474;2.831,60;49.160;3.277,30;;5,80%
