Fecha;23/01/2025 20:20;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;2;0,1;1.177;78,5;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.344;89,6;1.260;84;;7,10%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;5.791;386,1;4.424;294,9;;8,70%
400121;Miniatura;MEC;196,35136;208;0;(en blanco);12;28/01/2025;594;;;;559;9,3;213;14,2;168;11,2;;8,50%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,00%
400231;Pepito;MEC;160,18779;450;0;(en blanco);2;(en blanco);(en blanco);;;;947;15,8;265;17,7;248;16,5;;7,10%
400233;Pepito;MEC;160,28813;0;0;(en blanco);416;23/01/2025;495;;;;352;5,9;320;21,3;;;;0,00%
401111;Bocata;MEC;224,45714;870;0;(en blanco);2;23/01/2025;376;;;;2.414;40,2;450;30;955;63,7;;3,10%
401113;Bocata;MEC;224,45714;288;0;(en blanco);288;23/01/2025;0;;;;256;4,3;224;14,9;;;;0,00%
401301;Baguette Plus;MEC;160,34482;419;0;(en blanco);22;28/01/2025;484;;;;740;12,3;339;22,6;303;20,2;;7,50%
401421;Barra Castellana;MEC;137,06227;229;0;(en blanco);0;23/01/2025;117;;;;85;1,4;366;24,4;;;;0,00%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);128;23/01/2025;154;;;;96;1,6;288;19,2;;;;0,00%
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,00%
401881;Bollo;MEC;205,58375;223;0;(en blanco);22;28/01/2025;425;;;;1.703;28,4;335;22,3;555;37;;4,00%
402011;Viena Mondat 145 gr;MEC;246,74846;927;0;(en blanco);199;23/01/2025;924;;;;4.052;67,5;2.317;154,5;1.072;71,5;;14,40%
402801;Viena;MEC;224,44444;65;0;(en blanco);0;(en blanco);(en blanco);;;;420;7;381;25,4;45;3;;56,40%
403341;Barra de Viena;MEC;242,1118;874;0;(en blanco);21;23/01/2025;974;;;;2.536;42,3;1.878;125,2;1.897;126,5;;6,60%
403801;Mini Viena Andaluza;MEC;205,70099;282;0;(en blanco);13;28/01/2025;423;;;;677;11,3;752;50,1;388;25,9;;12,90%
404903;Viena 170g;MEC;186,988;87;0;(en blanco);64;(en blanco);(en blanco);;;;65;1,1;96;6,4;;;;0,00%
405121;Miniatura con Salvado;MEC;196,35943;91;0;324;1;(en blanco);(en blanco);;;;20;0,3;;;25;1,7;;
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;9;0,6;;;;0,00%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;728;0;(en blanco);25;(en blanco);(en blanco);;;;556;9,3;805;53,7;761;50,7;;7,10%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;1039;0;(en blanco);81;23/01/2025;0;;;;1.791;29,9;751;50,1;744;49,6;;6,70%
406401;Viena con Salvado Pequeña;MEC;205,7429;1039;0;(en blanco);8;22/01/2025;0;;;;1.239;20,7;474;31,6;604;40,3;;5,20%
406501;Bollo 100 % Integral;MEC;187,00422;41;0;(en blanco);0;(en blanco);(en blanco);;;;45;0,8;20;1,3;58;3,9;;2,30%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;126;8,4;116;7,7;;7,20%
407411;Bollo Rústico Semillado;VIME;130,89596;87;0;(en blanco);3;31/01/2025;272;;;;167;2,8;;;;;;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;81;5,4;60;4;;9,00%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;377;0;(en blanco);0;(en blanco);(en blanco);;;;839;14;;;;;;
421802;Bollo Ecológico Easy;MEC;163,20404;103;0;588;0;(en blanco);(en blanco);;;;476;7,9;;;;;;
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;179,99915;253;0;(en blanco);0;(en blanco);(en blanco);;;;319;5,3;;;;;;
423111;Panecillo con Cereales y Semillas;VIME;155,78171;406;0;(en blanco);9;(en blanco);(en blanco);;;;676;11,3;;;;;;
423301;Mollete Pack 4 UDS;MEC;167,3356;110;0;(en blanco);0;(en blanco);(en blanco);;;;112;1,9;120;8;174;11,6;;4,60%
423321;Mollete;MEC;155,66037;381;0;(en blanco);115;30/01/2025;1107;;;;1.546;25,8;405;27;290;19,3;;9,30%
423611;Alcachofa Semillada con Sésamo 4,35%;VIME;192,76761;205;0;(en blanco);0;(en blanco);(en blanco);;;;75;1,3;;;;;;
425351;Payesito Mondat;MEC;192,67272;313;0;(en blanco);2;(en blanco);(en blanco);;;;193;3,2;19;1,3;32;2,1;;4,00%
