Fecha;24/01/2025 12:06:12;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;2;0,1;1.177;78,5;;0,0 %
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.316;87,7;1.288;85,9;;6,8 %
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;5.231;348,7;4.284;285,6;;8,1 %
400121;Miniatura;MEC;196,35136;156;0;(en blanco);2;28/01/2025;594;;;;559;9,3;179;11,9;181;12,1;;6,6 %
400231;Pepito;MEC;160,18779;403;125;(en blanco);0;24/01/2025;0;;;;947;15,8;251;16,7;245;16,3;;6,8 %
400233;Pepito;MEC;160,28813;0;416;(en blanco);416;23/01/2025;79;;;;352;5,9;320;21,3;;;;0,0 %
401111;Bocata;MEC;224,45714;818;0;(en blanco);1;30/01/2025;452;;;;2.414;40,2;451;30,1;955;63,7;;3,1 %
401113;Bocata;MEC;224,45714;288;0;(en blanco);288;(en blanco);(en blanco);;;;256;4,3;224;14,9;;;;0,0 %
401301;Baguette Plus;MEC;160,34482;348;0;(en blanco);31;28/01/2025;484;;;;740;12,3;321;21,4;317;21,1;;6,8 %
401421;Barra Castellana;MEC;137,06227;173;195;(en blanco);0;23/01/2025;0;;;;85;1,4;364;24,3;;;;0,0 %
401423;Barra Castellana;MEC;120,91656;10;128;(en blanco);128;23/01/2025;26;;;;96;1,6;288;19,2;;;;0,0 %
401881;Bollo;MEC;205,58375;179;0;(en blanco);12;28/01/2025;425;;;;1.703;28,4;362;24,1;528;35,2;;4,6 %
402011;Viena Mondat 145 gr;MEC;246,74846;618;0;(en blanco);4;30/01/2025;744;;;;4.052;67,5;2.241;149,4;1.114;74,3;;13,4 %
402801;Viena;MEC;224,44444;59;0;(en blanco);0;(en blanco);(en blanco);;;;420;7,0;381;25,4;40;2,7;;63,5 %
403341;Barra de Viena;MEC;242,1118;836;0;(en blanco);0;30/01/2025;487;;;;2.536;42,3;1.903;126,9;1.692;112,8;;7,5 %
403801;Mini Viena Andaluza;MEC;205,70099;253;0;(en blanco);1;28/01/2025;423;;;;677;11,3;837;55,8;289;19,3;;19,3 %
404903;Viena 170g;MEC;186,988;87;0;(en blanco);64;(en blanco);(en blanco);;;;65;1,1;96;6,4;;;;0,0 %
405121;Miniatura con Salvado;MEC;196,35943;71;0;324;1;(en blanco);(en blanco);;;;20;0,3;1;0,1;30;2,0;;0,2 %
