Fecha;03/02/2025 15:51:23;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15 AA/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;589;39,3;674;44,9;-100,0 %;-12,6 %
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;980;65,3;1.428;95,2;-100,0 %;-31,4 %
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.060;270,7;5.320;354,7;-100,0 %;-23,7 %
400121;Miniatura;MEC;196,35136;784;0;(en blanco);5;29/01/2025;0;23,9;358;23,9;940;15,7;189;12,6;174;11,6;89,4 %;8,6 %
400231;Pepito;MEC;160,18779;472;0;(en blanco);6;(en blanco);(en blanco);18,9;284;18,9;1.330;22,2;241;16,1;336;22,4;17,8 %;-28,3 %
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);27,7;416;27,7;768;12,8;;;256;17,1;0,0 %;-100,0 %
401111;Bocata;MEC;224,45714;828;0;(en blanco);4;(en blanco);(en blanco);6,3;95;6,3;2.886;48,1;524;34,9;1.042;69,5;-81,9 %;-49,7 %
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);19,2;288;19,2;576;9,6;;;352;23,5;0,0 %;-100,0 %
401301;Baguette Plus;MEC;160,34482;700;0;(en blanco);58;29/01/2025;8;19,9;299;19,9;1.471;24,5;313;20,9;266;17,7;-4,5 %;17,7 %
401421;Barra Castellana;MEC;137,06227;144;0;(en blanco);0;(en blanco);(en blanco);18,7;280;18,7;645;10,8;;;84;5,6;0,0 %;-100,0 %
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);0;(en blanco);(en blanco);9,2;138;9,2;202;3,4;;;224;14,9;0,0 %;-100,0 %
401871;Bollo;MEC;182,74111;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;0;0,0;;0,0 %
401881;Bollo;MEC;205,58375;335;0;(en blanco);59;29/01/2025;506;31,1;466;31,1;1.826;30,4;523;34,9;336;22,4;-10,9 %;55,7 %
402011;Viena Mondat 145 gr;MEC;246,74846;377;0;(en blanco);26;30/01/2025;961;126,1;1891;126,1;7.423;123,7;845;56,3;2.231;148,7;123,8 %;-62,1 %
402801;Viena;MEC;224,44444;59;0;(en blanco);308;05/02/2025;467;;;;420;7,0;342;22,8;;;-100,0 %;0,0 %
403341;Barra de Viena;MEC;242,1118;766;0;(en blanco);23;30/01/2025;523;65,2;978;65,2;4.044;67,4;1.870;124,7;1.391;92,7;-47,7 %;34,4 %
403801;Mini Viena Andaluza;MEC;205,70099;431;0;(en blanco);1;30/01/2025;65;27,7;415;27,7;1.472;24,5;504;33,6;236;15,7;-17,7 %;113,6 %
404903;Viena 170g;MEC;186,988;23;0;(en blanco);0;(en blanco);(en blanco);4,3;64;4,3;224;3,7;;;96;6,4;0,0 %;-100,0 %
405121;Miniatura con Salvado;MEC;196,35943;65;0;324;0;(en blanco);(en blanco);1,2;18;1,2;36;0,6;25;1,7;12;0,8;-28,0 %;108,3 %
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;-100,0 %;0,0 %
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;409;0;(en blanco);27;03/02/2025;2361;67,1;1007;67,1;2.288;38,1;708;47,2;730;48,7;42,2 %;-3,0 %
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;609;0;(en blanco);25;05/02/2025;453;47,3;709;47,3;2.781;46,4;707;47,1;780;52,0;0,3 %;-9,4 %
