Fecha;22/01/2025 12:55;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;1.178;78,5;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.428;95,2;1.288;85,9;;7,40%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;5.399;359,9;4.676;311,7;;7,70%
400121;Miniatura;MEC;196,35136;220;0;(en blanco);8;(en blanco);(en blanco);;;;577;9,6;191;12,7;185;12,3;;6,90%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,00%
400231;Pepito;MEC;160,18779;460;0;(en blanco);10;(en blanco);(en blanco);;;;950;15,8;225;15;268;17,9;;5,60%
400233;Pepito;MEC;160,28813;0;0;(en blanco);416;23/01/2025;495;;;;352;5,9;320;21,3;;;;0,00%
401111;Bocata;MEC;224,45714;639;0;(en blanco);6;23/01/2025;157;;;;2.416;40,3;433;28,9;974;64,9;;3,00%
401113;Bocata;MEC;224,45714;0;0;(en blanco);288;23/01/2025;275;;;;256;4,3;224;14,9;;;;0,00%
401301;Baguette Plus;MEC;160,34482;438;0;(en blanco);14;(en blanco);(en blanco);;;;756;12,6;358;23,9;314;20,9;;7,60%
401421;Barra Castellana;MEC;137,06227;229;0;(en blanco);0;23/01/2025;117;;;;85;1,4;366;24,4;;;;0,00%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);128;23/01/2025;154;;;;96;1,6;288;19,2;;;;0,00%
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,00%
401881;Bollo;MEC;205,58375;241;0;(en blanco);20;23/01/2025;425;;;;1.710;28,5;214;14,3;613;40,9;;2,30%
402011;Viena Mondat 145 gr;MEC;246,74846;322;0;(en blanco);173;23/01/2025;1006;;;;4.088;68,1;2.439;162,6;968;64,5;;16,80%
402801;Viena;MEC;224,44444;65;0;(en blanco);0;(en blanco);(en blanco);;;;420;7;128;8,5;303;20,2;;2,80%
403341;Barra de Viena;MEC;242,1118;466;0;(en blanco);19;23/01/2025;487;;;;2.580;43;1.843;122,9;1.801;120,1;;6,80%
403801;Mini Viena Andaluza;MEC;205,70099;295;0;(en blanco);6;(en blanco);(en blanco);;;;693;11,6;737;49,1;417;27,8;;11,80%
404903;Viena 170g;MEC;186,988;87;0;(en blanco);64;(en blanco);(en blanco);;;;65;1,1;96;6,4;;;;0,00%
405121;Miniatura con Salvado;MEC;196,35943;415;0;(en blanco);0;(en blanco);(en blanco);;;;20;0,3;;;25;1,7;;
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;8;0,5;1;0,1;;53,30%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;879;0;(en blanco);88;21/01/2025;564;;;;556;9,3;810;54;759;50,6;;7,10%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;586;0;(en blanco);11;23/01/2025;453;;;;1.812;30,2;741;49,4;740;49,3;;6,70%
406401;Viena con Salvado Pequeña;MEC;205,7429;615;0;(en blanco);7;22/01/2025;431;;;;1.252;20,9;480;32;568;37,9;;5,60%
406501;Bollo 100 % Integral;MEC;187,00422;41;0;(en blanco);0;(en blanco);(en blanco);;;;47;0,8;14;0,9;64;4,3;;1,50%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;126;8,4;100;6,7;;8,40%
407411;Bollo Rústico Semillado;VIME;130,89596;88;0;(en blanco);2;(en blanco);(en blanco);;;;168;2,8;;;;;;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;86;5,7;60;4;;9,60%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;377;0;(en blanco);16;(en blanco);(en blanco);;;;839;14;;;;;;
421802;Bollo Ecológico Easy;MEC;163,20404;691;0;(en blanco);0;(en blanco);(en blanco);;;;476;7,9;;;;;;
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;179,99915;253;0;(en blanco);26;(en blanco);(en blanco);;;;319;5,3;;;;;;
423111;Panecillo con Cereales y Semillas;VIME;155,78171;426;0;(en blanco);3;(en blanco);(en blanco);;;;682;11,4;;;;;;
423301;Mollete Pack 4 UDS;MEC;167,3356;110;0;(en blanco);0;(en blanco);(en blanco);;;;112;1,9;110;7,3;174;11,6;;4,20%
423321;Mollete;MEC;155,66037;391;0;(en blanco);341;(en blanco);(en blanco);;;;1.550;25,8;394;26,3;281;18,7;;9,30%
423611;Alcachofa Semillada con Sésamo 4,35%;VIME;192,76761;206;0;(en blanco);0;(en blanco);(en blanco);;;;75;1,3;;;;;;
425351;Payesito Mondat;MEC;192,67272;317;0;(en blanco);4;(en blanco);(en blanco);;;;202;3,4;19;1,3;29;1,9;;4,40%
430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;187,00569;56;0;(en blanco);0;(en blanco);(en blanco);;;;112;1,9;;;;;;
430301;Panecillo Semillas Easy;VIME;127,17655;125;0;(en blanco);0;(en blanco);(en blanco);;;;2;0;;;;;;
430401;Mini Panecillo Easy;VIME;134,85559;548;0;(en blanco);1095;21/01/2025;94;;;;2.788;46,5;444;29,6;81;5,4;;36,50%
430621;Pepito Easy;MEC;166,2776;3075;0;(en blanco);855;22/01/2025;2003;;;;6.708;111,8;2.545;169,7;3.229;215,3;;5,30%
430702;Panecito Ecológico Easy;MEC;158,42696;1657;0;(en blanco);260;21/01/2025;639;;;;3.289;54,8;3.341;222,7;3.483;232,2;;6,40%
430731;Panecito Easy;MEC;158,31932;1128;0;(en blanco);223;22/01/2025;1282;;;;8.158;136;2.250;150;2.371;158,1;;6,30%
431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;136,00086;769;0;(en blanco);0;20/01/2025;0;;;;643;10,7;101;6,7;228;15,2;;3,00%
