Fecha;20/01/2025 14:42;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;589;39,3;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.316;87,7;952;63,5;;9,20%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.671;311,4;4.004;266,9;;7,80%
400121;Miniatura;MEC;196,35136;239;0;(en blanco);20;(en blanco);(en blanco);;;;602;10;184;12,3;186;12,4;;6,60%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,00%
400231;Pepito;MEC;160,18779;473;0;(en blanco);11;(en blanco);(en blanco);;;;1.020;17;206;13,7;238;15,9;;5,80%
400233;Pepito;MEC;160,28813;0;0;(en blanco);416;23/01/2025;495;;;;352;5,9;320;21,3;;;;0,00%
401111;Bocata;MEC;224,45714;646;0;(en blanco);5;23/01/2025;157;;;;2.495;41,6;428;28,5;524;34,9;;5,40%
401113;Bocata;MEC;224,45714;0;0;(en blanco);288;23/01/2025;275;;;;256;4,3;224;14,9;;;;0,00%
401301;Baguette Plus;MEC;160,34482;503;0;(en blanco);41;(en blanco);(en blanco);;;;810;13,5;325;21,7;293;19,5;;7,40%
401421;Barra Castellana;MEC;137,06227;229;0;(en blanco);0;23/01/2025;117;;;;85;1,4;366;24,4;;;;0,00%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);128;23/01/2025;154;;;;96;1,6;288;19,2;;;;0,00%
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,00%
401881;Bollo;MEC;205,58375;282;0;(en blanco);11;23/01/2025;425;;;;1.774;29,6;192;12,8;511;34,1;;2,50%
402011;Viena Mondat 145 gr;MEC;246,74846;411;0;(en blanco);27;23/01/2025;1006;;;;4.462;74,4;2.341;156,1;814;54,3;;19,20%
402801;Viena;MEC;224,44444;65;0;(en blanco);0;(en blanco);(en blanco);;;;420;7;94;6,3;337;22,5;;1,90%
403341;Barra de Viena;MEC;242,1118;524;0;(en blanco);33;23/01/2025;487;;;;2.765;46,1;1.716;114,4;1.779;118,6;;6,40%
403801;Mini Viena Andaluza;MEC;205,70099;359;0;(en blanco);5;(en blanco);(en blanco);;;;755;12,6;661;44,1;461;30,7;;9,60%
404903;Viena 170g;MEC;186,988;87;0;(en blanco);64;(en blanco);(en blanco);;;;65;1,1;96;6,4;;;;0,00%
405121;Miniatura con Salvado;MEC;196,35943;415;0;(en blanco);0;(en blanco);(en blanco);;;;20;0,3;;;25;1,7;;
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;8;0,5;1;0,1;;53,30%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;569;0;(en blanco);34;21/01/2025;564;;;;583;9,7;722;48,1;696;46,4;;6,90%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;686;0;(en blanco);25;23/01/2025;453;;;;1.946;32,4;665;44,3;690;46;;6,40%
406401;Viena con Salvado Pequeña;MEC;205,7429;630;0;(en blanco);12;22/01/2025;431;;;;1.293;21,6;437;29,1;422;28,1;;6,90%
406501;Bollo 100 % Integral;MEC;187,00422;44;0;(en blanco);0;(en blanco);(en blanco);;;;49;0,8;13;0,9;64;4,3;;1,40%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;122;8,1;100;6,7;;8,10%
407411;Bollo Rústico Semillado;VIME;130,89596;105;0;(en blanco);9;(en blanco);(en blanco);;;;187;3,1;;;;;;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;84;5,6;62;4,1;;9,00%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;517;0;(en blanco);0;(en blanco);(en blanco);;;;952;15,9;;;;;;
