Fecha;21/01/2025 14:05;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;1.178;78,5;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.316;87,7;1.148;76,5;;7,60%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.671;311,4;4.704;313,6;;6,60%
400121;Miniatura;MEC;196,35136;231;0;(en blanco);4;(en blanco);(en blanco);;;;589;9,8;184;12,3;188;12,5;;6,50%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,00%
400231;Pepito;MEC;160,18779;468;0;(en blanco);10;(en blanco);(en blanco);;;;990;16,5;206;13,7;259;17,3;;5,30%
400233;Pepito;MEC;160,28813;0;0;(en blanco);416;23/01/2025;495;;;;352;5,9;320;21,3;;;;0,00%
401111;Bocata;MEC;224,45714;644;0;(en blanco);4;23/01/2025;157;;;;2.487;41,5;428;28,5;529;35,3;;5,40%
401113;Bocata;MEC;224,45714;0;0;(en blanco);288;23/01/2025;275;;;;256;4,3;224;14,9;;;;0,00%
401301;Baguette Plus;MEC;160,34482;489;0;(en blanco);13;(en blanco);(en blanco);;;;785;13,1;325;21,7;325;21,7;;6,70%
401421;Barra Castellana;MEC;137,06227;229;0;(en blanco);0;23/01/2025;117;;;;85;1,4;366;24,4;;;;0,00%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);128;23/01/2025;154;;;;96;1,6;288;19,2;;;;0,00%
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,00%
401881;Bollo;MEC;205,58375;260;0;(en blanco);17;23/01/2025;425;;;;1.732;28,9;192;12,8;594;39,6;;2,20%
402011;Viena Mondat 145 gr;MEC;246,74846;361;0;(en blanco);173;23/01/2025;1006;;;;4.340;72,3;2.341;156,1;992;66,1;;15,70%
402801;Viena;MEC;224,44444;65;0;(en blanco);0;(en blanco);(en blanco);;;;420;7;94;6,3;337;22,5;;1,90%
403341;Barra de Viena;MEC;242,1118;497;0;(en blanco);19;23/01/2025;487;;;;2.654;44,2;1.716;114,4;1.850;123,3;;6,20%
403801;Mini Viena Andaluza;MEC;205,70099;346;0;(en blanco);6;(en blanco);(en blanco);;;;733;12,2;661;44,1;475;31,7;;9,30%
404903;Viena 170g;MEC;186,988;87;0;(en blanco);64;(en blanco);(en blanco);;;;65;1,1;96;6,4;;;;0,00%
405121;Miniatura con Salvado;MEC;196,35943;415;0;(en blanco);0;(en blanco);(en blanco);;;;20;0,3;;;25;1,7;;
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;8;0,5;1;0,1;;53,30%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;970;0;(en blanco);82;21/01/2025;564;;;;576;9,6;722;48,1;753;50,2;;6,40%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;649;0;(en blanco);11;23/01/2025;453;;;;1.896;31,6;665;44,3;773;51,5;;5,70%
406401;Viena con Salvado Pequeña;MEC;205,7429;622;0;(en blanco);3;22/01/2025;431;;;;1.270;21,2;437;29,1;447;29,8;;6,50%
406501;Bollo 100 % Integral;MEC;187,00422;43;0;(en blanco);0;(en blanco);(en blanco);;;;47;0,8;13;0,9;64;4,3;;1,40%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;122;8,1;103;6,9;;7,90%
407411;Bollo Rústico Semillado;VIME;130,89596;95;0;(en blanco);2;(en blanco);(en blanco);;;;171;2,9;;;;;;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;84;5,6;62;4,1;;9,00%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;517;0;(en blanco);16;(en blanco);(en blanco);;;;952;15,9;;;;;;
421802;Bollo Ecológico Easy;MEC;163,20404;691;0;(en blanco);0;(en blanco);(en blanco);;;;686;11,4;;;;;;
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;179,99915;309;0;(en blanco);26;(en blanco);(en blanco);;;;383;6,4;;;;;;
423111;Panecillo con Cereales y Semillas;VIME;155,78171;429;0;(en blanco);1;(en blanco);(en blanco);;;;702;11,7;;;;;;
423301;Mollete Pack 4 UDS;MEC;167,3356;110;0;(en blanco);0;(en blanco);(en blanco);;;;112;1,9;100;6,7;144;9,6;;4,60%
423321;Mollete;MEC;155,66037;620;0;(en blanco);341;(en blanco);(en blanco);;;;1.593;26,6;388;25,9;265;17,7;;9,80%
423611;Alcachofa Semillada con Sésamo 4,35%;VIME;192,76761;206;0;(en blanco);0;(en blanco);(en blanco);;;;75;1,3;;;;;;
425351;Payesito Mondat;MEC;192,67272;321;0;(en blanco);4;(en blanco);(en blanco);;;;213;3,6;17;1,1;31;2,1;;3,70%
430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;187,00569;56;0;(en blanco);0;(en blanco);(en blanco);;;;112;1,9;;;;;;
430301;Panecillo Semillas Easy;VIME;127,17655;145;0;(en blanco);0;(en blanco);(en blanco);;;;2;0;;;;;;
430401;Mini Panecillo Easy;VIME;134,85559;997;0;(en blanco);1095;21/01/2025;94;;;;2.793;46,6;444;29,6;81;5,4;;36,50%
430621;Pepito Easy;MEC;166,2776;1255;0;(en blanco);854;22/01/2025;2003;;;;7.438;124;2.536;169,1;3.044;202,9;;5,60%
430702;Panecito Ecológico Easy;MEC;158,42696;1807;0;(en blanco);246;21/01/2025;639;;;;3.411;56,9;3.052;203,5;3.342;222,8;;6,10%
430731;Panecito Easy;MEC;158,31932;309;0;(en blanco);219;22/01/2025;1282;;;;8.339;139;2.132;142,1;2.269;151,3;;6,30%
431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;136,00086;772;0;(en blanco);0;20/01/2025;0;;;;649;10,8;99;6,6;226;15,1;;2,90%
432111;Pepito Sin Sal Añadida Easy;MEC;166,22628;300;0;(en blanco);0;21/01/2025;343;;;;1.154;19,2;487;32,5;594;39,6;;5,50%
432211;Pepito con Salvado Easy;MEC;166,21578;765;0;(en blanco);168;22/01/2025;353;;;;1.804;30,1;782;52,1;801;53,4;;6,50%
432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;166,21039;98;0;(en blanco);0;22/01/2025;340;;;;583;9,7;308;20,5;325;21,7;;6,30%
432421;Bollo Easy;MEC;149,60847;505;0;(en blanco);0;(en blanco);(en blanco);;;;1.342;22,4;588;39,2;567;37,8;;6,90%
432501;Pan Bocadillo con Salvado Easy;MEC;187,00706;0;0;(en blanco);0;(en blanco);(en blanco);;;;101;1,7;;;;;;
432821;Pan Bocadillo Easy;MEC;169,99643;949;0;(en blanco);7;22/01/2025;343;;;;1.943;32,4;324;21,6;897;59,8;;2,40%
432911;Panecito con Salvado Easy;MEC;158,39643;481;0;(en blanco);5;(en blanco);(en blanco);;;;2.392;39,9;809;53,9;516;34,4;;10,50%
433701;Bollito Easy Pack de 8 Uds;VIME;133,91913;757;0;(en blanco);0;(en blanco);(en blanco);;;;236;3,9;70;4,7;68;4,5;;6,90%
434011;Panecito Sin Sal Añadida Easy;MEC;158,39017;125;0;(en blanco);0;21/01/2025;331;;;;891;14,9;174;11,6;308;20,5;;3,80%
434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;158,40635;251;0;392;0;(en blanco);(en blanco);;;;336;5,6;168;11,2;;;;0,00%
