Suma de Cantidad;;;Fecha;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD_GRU;COD_ART;NOM_ART;31/01/2025;03/02/2025;05/02/2025;06/02/2025;07/02/2025;08/02/2025;10/02/2025;11/02/2025;12/02/2025;14/02/2025;20/02/2025;27/02/2025;;;;;;;;;;;;;;;;
MEC ;400121;Miniatura;;;-6;-2;;;;;;;;;;;;;;;;;;;;;;;;
MEC ;400231;Pepito;;;-4;;;;;;;;;;;;;;;;;;;;;;;;;
MEC ;401111;Bocata;;;-2;-4;;;;;;;;;;;;;;;;;;;;;;;;
MEC ;401301;Baguette Plus;;;-20;-2;-57;;;;;;;;;;;;;;;;;;;;;;;
MEC ;401881;Bollo;;-2;-20;;;;-28;;;;;;;;;;;;;;;;;;;;;
MEC ;402011;Viena Mondat 145 gr;;;-20;;-128;;;;;;;;;;;;;;;;;;;;;;;
MEC ;403341;Barra de Viena;;;-10;;;;;;;;;;;;;;;;;;;;;;;;;
MEC ;403801;Mini Viena Andaluza;;;;;-28;;;;;;;;;;;;;;;;;;;;;;;
MEC ;406002;Panecito Integral 100% Ecológico Easy;;;-11;;;;-1;;;;;;;;;;;;;;;;;;;;;
MEC ;406301;Viena Mondat con Salvado 145 gr;;;-16;-1;-56;;;;;;;;;;;;;;;;;;;;;;;
MEC ;406401;Viena con Salvado Pequeña;;;-8;-1;;;;;;;;;;;;;;;;;;;;;;;;
MEC ;423321;Mollete;;-2;-12;-1;;;;-196;;;-224;-2;;;;;;;;;;;;;;;;
MEC ;425351;Payesito Mondat;;;-4;-1;;;;;;;;;;;;;;;;;;;;;;;;
MEC ;430621;Pepito Easy;;;-9;-552;-112;;;;;;;;;;;;;;;;;;;;;;;
MEC ;430702;Panecito Ecológico Easy;;;-29;-2;-60;;-4;;;-56;;;;;;;;;;;;;;;;;;
MEC ;430731;Panecito Easy;-5;;-26;-9;-86;-10;-4;;;;;;;;;;;;;;;;;;;;;
MEC ;432421;Bollo Easy;;;;;;;;;;;-2;;;;;;;;;;;;;;;;;
