Suma de Cantidad;;;Fecha;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD_GRU;COD_ART;NOM_ART;05/02/2025;07/02/2025;04/02/2025;03/02/2025;31/01/2025;14/02/2025;27/02/2025;06/02/2025;20/02/2025;10/02/2025;08/02/2025;;;;;;;;;;;;;;;;;
MEC ;400121;Miniatura;-3;;-23;;;;;-2;;;;;;;;;;;;;;;;;;;;
MEC ;400231;Pepito;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;
MEC ;401111;Bocata;;;-1;;;;;-4;;;;;;;;;;;;;;;;;;;;
MEC ;401301;Baguette Plus;-4;-1;-19;;;;;-2;;;;;;;;;;;;;;;;;;;;
MEC ;401881;Bollo;;;-10;-2;;;;;;-28;;;;;;;;;;;;;;;;;;
MEC ;402011;Viena Mondat 145 gr;-10;;-29;;;;;;;;;;;;;;;;;;;;;;;;;
MEC ;403341;Barra de Viena;;;-34;;;;;;;;;;;;;;;;;;;;;;;;;
MEC ;403801;Mini Viena Andaluza;;;-9;;;;;;;;;;;;;;;;;;;;;;;;;
MEC ;406002;Panecito Integral 100% Ecológico Easy;-6;;-14;;;;;;;;;;;;;;;;;;;;;;;;;
MEC ;406301;Viena Mondat con Salvado 145 gr;-8;;-19;;;;;-1;;;;;;;;;;;;;;;;;;;;
MEC ;406401;Viena con Salvado Pequeña;;;-10;;;;;-1;;;;;;;;;;;;;;;;;;;;
MEC ;423321;Mollete;-4;;-6;-2;;;-2;-1;;;;;;;;;;;;;;;;;;;;
MEC ;425351;Payesito Mondat;-2;;-4;;;;;-1;;;;;;;;;;;;;;;;;;;;
MEC ;430621;Pepito Easy;-2;;-9;;;;;-576;;;;;;;;;;;;;;;;;;;;
MEC ;430702;Panecito Ecológico Easy;-28;-60;-46;;;-56;;-2;;;;;;;;;;;;;;;;;;;;
MEC ;430731;Panecito Easy;-23;;-37;;-5;;;-6;;-2;-10;;;;;;;;;;;;;;;;;
MEC ;432421;Bollo Easy;;;;;;;;;-2;;;;;;;;;;;;;;;;;;;
MEC ;432821;Pan Bocadillo Easy;;;-5;;;;;;-5;;;;;;;;;;;;;;;;;;;
MEC ;432911;Panecito con Salvado Easy;;;-3;;;;;;;;-1;;;;;;;;;;;;;;;;;
MEC ;434201;Viena Easy;;;-3;;;;;;;-21;;;;;;;;;;;;;;;;;;
MEC ;5718619;Pulguita;;-336;;;;;;-56;;-196;;;;;;;;;;;;;;;;;;
MEC ;604301;Pepito Easy Pack 5 uds;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;
MEC ;432211;Pepito con Salvado Easy;;;-5;;;;;-264;;;;;;;;;;;;;;;;;;;;
MEC ;402801;Viena;;;;;;;;;;-308;;;;;;;;;;;;;;;;;;
MEC ;432111;Pepito Sin Sal Añadida Easy;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIME;407411;Bollo Rústico Semillado;;-1;-3;;;;;;;;;;;;;;;;;;;;;;;;;
VIME;423111;Panecillo con Cereales y Semillas;-7;;-5;;;;;;;;;;;;;;;;;;;;;;;;;
VIME;430401;Mini Panecillo Easy;;;-5;;;;;;;;;;;;;;;;;;;;;;;;;
VIME;431610;Bollito 100% Integral Easy Pack 8 unidades;;;-90;;;;;;;;;;;;;;;;;;;;;;;;;
VIME;434721;Bollito Easy;;;-11;;;;;;;;;;;;;;;;;;;;;;;;;
VIME;438801;Panecillo con Semillas;;;-4;;;;;;;;;;;;;;;;;;;;;;;;;
VIME;453243;Panecillo 100% Integral;;;-4;;;;;;;;;;;;;;;;;;;;;;;;;
VIME;453251;Panecillo 100% Integral;-588;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIME;5718540;Panecillo con  Semillas;-420;-280;;;;;;-56;;;;;;;;;;;;;;;;;;;;
VIME;5720811;Baguetina Cereales;-196;-308;;;;;;;;-280;;;;;;;;;;;;;;;;;;
VIME;430301;Panecillo Semillas Easy;;;-3;;;;;;;;;;;;;;;;;;;;;;;;;
VIME;423611;Alcachofa Semillada con Sésamo 4,35%;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
